Date,Age,Sex,deaths_new,ISO
2020-04-24,0-4,b,0.0,AUT
2020-04-24,0-4,f,0.0,AUT
2020-04-24,0-4,m,0.0,AUT
2020-04-24,15-24,b,0.0,AUT
2020-04-24,15-24,f,0.0,AUT
2020-04-24,15-24,m,0.0,AUT
2020-04-24,25-34,b,0.0,AUT
2020-04-24,25-34,f,0.0,AUT
2020-04-24,25-34,m,0.0,AUT
2020-04-24,35-44,b,0.0,AUT
2020-04-24,35-44,f,0.0,AUT
2020-04-24,35-44,m,0.0,AUT
2020-04-24,45-54,b,0.0,AUT
2020-04-24,45-54,f,0.0,AUT
2020-04-24,45-54,m,0.0,AUT
2020-04-24,5-14,b,0.0,AUT
2020-04-24,5-14,f,0.0,AUT
2020-04-24,5-14,m,0.0,AUT
2020-04-24,55-64,b,1.0,AUT
2020-04-24,55-64,f,1.0,AUT
2020-04-24,55-64,m,0.0,AUT
2020-04-24,65-74,b,1.0,AUT
2020-04-24,65-74,f,0.0,AUT
2020-04-24,65-74,m,1.0,AUT
2020-04-24,75-84,b,4.0,AUT
2020-04-24,75-84,f,2.0,AUT
2020-04-24,75-84,m,2.0,AUT
2020-04-24,85+,b,2.0,AUT
2020-04-24,85+,f,1.0,AUT
2020-04-24,85+,m,1.0,AUT
2020-04-25,0-4,b,0.0,AUT
2020-04-25,0-4,f,0.0,AUT
2020-04-25,0-4,m,0.0,AUT
2020-04-25,15-24,b,0.0,AUT
2020-04-25,15-24,f,0.0,AUT
2020-04-25,15-24,m,0.0,AUT
2020-04-25,25-34,b,0.0,AUT
2020-04-25,25-34,f,0.0,AUT
2020-04-25,25-34,m,0.0,AUT
2020-04-25,35-44,b,0.0,AUT
2020-04-25,35-44,f,0.0,AUT
2020-04-25,35-44,m,0.0,AUT
2020-04-25,45-54,b,1.0,AUT
2020-04-25,45-54,f,0.0,AUT
2020-04-25,45-54,m,1.0,AUT
2020-04-25,5-14,b,0.0,AUT
2020-04-25,5-14,f,0.0,AUT
2020-04-25,5-14,m,0.0,AUT
2020-04-25,55-64,b,0.0,AUT
2020-04-25,55-64,f,0.0,AUT
2020-04-25,55-64,m,0.0,AUT
2020-04-25,65-74,b,1.0,AUT
2020-04-25,65-74,f,1.0,AUT
2020-04-25,65-74,m,0.0,AUT
2020-04-25,75-84,b,0.0,AUT
2020-04-25,75-84,f,0.0,AUT
2020-04-25,75-84,m,0.0,AUT
2020-04-25,85+,b,1.0,AUT
2020-04-25,85+,f,0.0,AUT
2020-04-25,85+,m,1.0,AUT
2020-04-26,0-4,b,0.0,AUT
2020-04-26,0-4,f,0.0,AUT
2020-04-26,0-4,m,0.0,AUT
2020-04-26,15-24,b,0.0,AUT
2020-04-26,15-24,f,0.0,AUT
2020-04-26,15-24,m,0.0,AUT
2020-04-26,25-34,b,0.0,AUT
2020-04-26,25-34,f,0.0,AUT
2020-04-26,25-34,m,0.0,AUT
2020-04-26,35-44,b,0.0,AUT
2020-04-26,35-44,f,0.0,AUT
2020-04-26,35-44,m,0.0,AUT
2020-04-26,45-54,b,0.0,AUT
2020-04-26,45-54,f,0.0,AUT
2020-04-26,45-54,m,0.0,AUT
2020-04-26,5-14,b,0.0,AUT
2020-04-26,5-14,f,0.0,AUT
2020-04-26,5-14,m,0.0,AUT
2020-04-26,55-64,b,0.0,AUT
2020-04-26,55-64,f,0.0,AUT
2020-04-26,55-64,m,0.0,AUT
2020-04-26,65-74,b,1.0,AUT
2020-04-26,65-74,f,0.0,AUT
2020-04-26,65-74,m,1.0,AUT
2020-04-26,75-84,b,3.0,AUT
2020-04-26,75-84,f,1.0,AUT
2020-04-26,75-84,m,2.0,AUT
2020-04-26,85+,b,3.0,AUT
2020-04-26,85+,f,2.0,AUT
2020-04-26,85+,m,1.0,AUT
2020-04-27,0-4,b,0.0,AUT
2020-04-27,0-4,f,0.0,AUT
2020-04-27,0-4,m,0.0,AUT
2020-04-27,15-24,b,0.0,AUT
2020-04-27,15-24,f,0.0,AUT
2020-04-27,15-24,m,0.0,AUT
2020-04-27,25-34,b,0.0,AUT
2020-04-27,25-34,f,0.0,AUT
2020-04-27,25-34,m,0.0,AUT
2020-04-27,35-44,b,0.0,AUT
2020-04-27,35-44,f,0.0,AUT
2020-04-27,35-44,m,0.0,AUT
2020-04-27,45-54,b,0.0,AUT
2020-04-27,45-54,f,0.0,AUT
2020-04-27,45-54,m,0.0,AUT
2020-04-27,5-14,b,0.0,AUT
2020-04-27,5-14,f,0.0,AUT
2020-04-27,5-14,m,0.0,AUT
2020-04-27,55-64,b,1.0,AUT
2020-04-27,55-64,f,0.0,AUT
2020-04-27,55-64,m,1.0,AUT
2020-04-27,65-74,b,2.0,AUT
2020-04-27,65-74,f,1.0,AUT
2020-04-27,65-74,m,1.0,AUT
2020-04-27,75-84,b,2.0,AUT
2020-04-27,75-84,f,1.0,AUT
2020-04-27,75-84,m,1.0,AUT
2020-04-27,85+,b,4.0,AUT
2020-04-27,85+,f,1.0,AUT
2020-04-27,85+,m,3.0,AUT
2020-04-28,0-4,b,0.0,AUT
2020-04-28,0-4,f,0.0,AUT
2020-04-28,0-4,m,0.0,AUT
2020-04-28,15-24,b,0.0,AUT
2020-04-28,15-24,f,0.0,AUT
2020-04-28,15-24,m,0.0,AUT
2020-04-28,25-34,b,0.0,AUT
2020-04-28,25-34,f,0.0,AUT
2020-04-28,25-34,m,0.0,AUT
2020-04-28,35-44,b,0.0,AUT
2020-04-28,35-44,f,0.0,AUT
2020-04-28,35-44,m,0.0,AUT
2020-04-28,45-54,b,1.0,AUT
2020-04-28,45-54,f,1.0,AUT
2020-04-28,45-54,m,0.0,AUT
2020-04-28,5-14,b,0.0,AUT
2020-04-28,5-14,f,0.0,AUT
2020-04-28,5-14,m,0.0,AUT
2020-04-28,55-64,b,0.0,AUT
2020-04-28,55-64,f,0.0,AUT
2020-04-28,55-64,m,0.0,AUT
2020-04-28,65-74,b,1.0,AUT
2020-04-28,65-74,f,0.0,AUT
2020-04-28,65-74,m,1.0,AUT
2020-04-28,75-84,b,5.0,AUT
2020-04-28,75-84,f,2.0,AUT
2020-04-28,75-84,m,3.0,AUT
2020-04-28,85+,b,4.0,AUT
2020-04-28,85+,f,2.0,AUT
2020-04-28,85+,m,2.0,AUT
2020-04-29,0-4,b,0.0,AUT
2020-04-29,0-4,f,0.0,AUT
2020-04-29,0-4,m,0.0,AUT
2020-04-29,15-24,b,0.0,AUT
2020-04-29,15-24,f,0.0,AUT
2020-04-29,15-24,m,0.0,AUT
2020-04-29,25-34,b,0.0,AUT
2020-04-29,25-34,f,0.0,AUT
2020-04-29,25-34,m,0.0,AUT
2020-04-29,35-44,b,0.0,AUT
2020-04-29,35-44,f,0.0,AUT
2020-04-29,35-44,m,0.0,AUT
2020-04-29,45-54,b,1.0,AUT
2020-04-29,45-54,f,0.0,AUT
2020-04-29,45-54,m,1.0,AUT
2020-04-29,5-14,b,0.0,AUT
2020-04-29,5-14,f,0.0,AUT
2020-04-29,5-14,m,0.0,AUT
2020-04-29,55-64,b,0.0,AUT
2020-04-29,55-64,f,0.0,AUT
2020-04-29,55-64,m,0.0,AUT
2020-04-29,65-74,b,1.0,AUT
2020-04-29,65-74,f,1.0,AUT
2020-04-29,65-74,m,0.0,AUT
2020-04-29,75-84,b,3.0,AUT
2020-04-29,75-84,f,1.0,AUT
2020-04-29,75-84,m,2.0,AUT
2020-04-29,85+,b,6.0,AUT
2020-04-29,85+,f,3.0,AUT
2020-04-29,85+,m,3.0,AUT
2020-04-30,0-4,b,0.0,AUT
2020-04-30,0-4,f,0.0,AUT
2020-04-30,0-4,m,0.0,AUT
2020-04-30,15-24,b,0.0,AUT
2020-04-30,15-24,f,0.0,AUT
2020-04-30,15-24,m,0.0,AUT
2020-04-30,25-34,b,0.0,AUT
2020-04-30,25-34,f,0.0,AUT
2020-04-30,25-34,m,0.0,AUT
2020-04-30,35-44,b,0.0,AUT
2020-04-30,35-44,f,0.0,AUT
2020-04-30,35-44,m,0.0,AUT
2020-04-30,45-54,b,0.0,AUT
2020-04-30,45-54,f,0.0,AUT
2020-04-30,45-54,m,0.0,AUT
2020-04-30,5-14,b,0.0,AUT
2020-04-30,5-14,f,0.0,AUT
2020-04-30,5-14,m,0.0,AUT
2020-04-30,55-64,b,0.0,AUT
