Country 1,Country 2,"Index
value","Round of ESS
used"
AUT,CYP,0.683,3
AUT,CZE,0.669,2
AUT,HUN,0.685,2
AUT,POL,0.623,2
AUT,PRT,0.737,2
AUT,RUS,0.648,3
AUT,SVK,0.598,2
AUT,SVN,0.701,2
AUT,ESP,0.797,2
AUT,SWE,0.691,2
AUT,CHE,0.793,2
AUT,TUR,0.586,2
AUT,UKR,0.564,2
BEL,AUT,0.829,2
BEL,BGR,0.53,3
BEL,HRV,0.736,4
BEL,CYP,0.652,3
BEL,CZE,0.648,2
BEL,DNK,0.674,2
BEL,EST,0.605,2
BEL,FIN,0.706,2
BEL,FRA,0.809,2
BEL,DEU,0.813,2
BEL,GRC,0.62,2
BEL,HUN,0.755,2
BEL,ISL,0.616,2
BEL,IRL,0.758,2
BEL,ISR,0.762,1
BEL,ITA,0.576,2
BEL,LVA,0.598,4
BEL,LUX,0.87,2
BEL,NLD,0.743,2
BEL,NOR,0.598,2
BEL,POL,0.582,2
BEL,PRT,0.697,2
BEL,ROU,0.494,4
BEL,RUS,0.573,3
BEL,SVK,0.566,2
BEL,SVN,0.769,2
BEL,ESP,0.863,2
BEL,SWE,0.754,2
BEL,CHE,0.841,2
BEL,TUR,0.562,2
BEL,GBR,0.807,2
BEL,UKR,0.503,2
BGR,AUT,0.535,3
BGR,HRV,0.538,4
BGR,CYP,0.45,3
BGR,CZE,0.469,4
BGR,DNK,0.403,3
BGR,EST,0.558,3
BGR,FIN,0.499,3
BGR,FRA,0.432,3
BGR,DEU,0.55,3
BGR,GRC,0.449,4
BGR,HUN,0.525,3
BGR,IRL,0.583,3
BGR,ISR,0.505,4
BGR,LVA,0.49,4
BGR,NLD,0.48,3
BGR,NOR,0.447,3
BGR,POL,0.569,3
BGR,PRT,0.541,3
BGR,RUS,0.56,3
BGR,SVK,0.555,3
BGR,SVN,0.492,3
BGR,ESP,0.512,3
BGR,SWE,0.422,3
BGR,CHE,0.392,3
BGR,TUR,0.387,4
BGR,GBR,0.577,3
BGR,UKR,0.509,3
HRV,CYP,0.71,4
HRV,CZE,0.741,4
HRV,HUN,0.744,4
HRV,LVA,0.737,4
HRV,NLD,0.685,4
HRV,NOR,0.669,4
HRV,POL,0.769,4
HRV,PRT,0.776,4
HRV,ROU,0.639,4
HRV,RUS,0.775,4
HRV,SVK,0.675,4
HRV,SVN,0.672,4
HRV,ESP,0.703,4
HRV,SWE,0.618,4
HRV,CHE,0.654,4
HRV,TUR,0.549,4
HRV,UKR,0.701,4
CZE,CYP,0.647,4
CZE,HUN,0.556,2
CZE,TUR,0.619,2
CZE,UKR,0.742,2
DNK,AUT,0.743,2
DNK,HRV,0.633,4
DNK,CYP,0.459,3
