Country,ISO,Stringency,DATE,Source,Notes
"China, Hong Kong Special Administrative Region",HKG,3,09/01/2020,universal usage (masks4all),date taken from https://www.chp.gov.hk/en/healthtopics/content/460/19731.html
Taiwan,TWN,3,22/01/2020,universal usage (masks4all),universal usage; date from https://focustaiwan.tw/society/202001220020
China,CHN,3,23/01/2020,universal usage (masks4all),universal usage. date taken from https://www.bbc.co.uk/news/world-asia-china-51217455
Vietnam,VNM,1,30/01/2020,ACAPS ID 6722 (error in ACAPS record; should remove 'not'),
Japan,JPN,3,31/01/2020,universal usage (masks4all),date taken from masks4all link: https://www.japantimes.co.jp/news/2020/01/31/national/coronavirus-japan-surgical-masks/#.Xs67Z5oo9N0
Thailand,THA,3,14/02/2020,ACAPS ID 2799,
South Korea,KOR,3,24/02/2020,universal usage (masks4all),universal usage; date from https://www.bbc.co.uk/news/av/world-asia-51609712/coronavirus-drone-captures-massive-queue-for-masks-in-south-korea
Thailand,THA,3,02/03/2020,ACAPS ID 2841,
Slovakia,SVK,3,12/03/2020,ACAPS ID 2364,
Equatorial Guinea,ECU,3,15/03/2020,ACAPS ID 1282,
Vietnam,VNM,3,16/03/2020,masks4all (predates next ACAPS records),masks4all link: https://www.thestar.com.my/news/regional/2020/03/16/all-in-vietnam-must-wear-face-mask-in-public-places-for-coronavirus-prevention
Ecuador,ECU,3,17/03/2020,ACAPS ID 5059,
Namibia,NAM,2,17/03/2020,ACAPS ID 1896,
Namibia,NAM,2,17/03/2020,ACAPS ID 1900,
Czech Republic,CZE,3,18/03/2020,ACAPS ID 949,
Venezuela,VEN,3,18/03/2020,masks4all (predates all ACAPS records),masks4all link: https://www.reuters.com/article/us-health-coronavirus-venezuela-masks/venezuelans-sew-homemade-face-masks-amid-coronavirus-quarantine-idUSKBN2171W2
India,IND,3,19/03/2020,universal usage (masks4all),date taken from 70% estimate in survey at masks4all link: https://www.ipsos.com/en-in/3-4-indians-wearing-masks-protect-themselves-covid-19-ipsos-15-nation-survey.
Uzbekistan,UZB,2,22/03/2020,masks4all,masks4all link: https://www.timesca.com/index.php/news/22276-afghanistan-reports-first-coronavirus-fatality-uzbekistan-makes-protective-masks-mandatory
Bosnia and Herzegovina,BIH,3,23/03/2020,masks4all (predates all ACAPS records),masks4all link: http://ba.n1info.com/English/NEWS/a420560/Bosnia-s-Federation-entity-loosens-curfew-introduced-mandatory-masks.html
Cuba,CUB,3,26/03/2020,ACAPS ID 2714,
Antigua and Barbuda,ATG,2,28/03/2020,ACAPS ID 4661,
Timor-Leste,TLS,2,28/03/2020,ACAPS ID 6980,
Honduras,HND,2,29/03/2020,ACAPS ID 4159,
Slovenia,SVN,3,29/03/2020,masks4all,masks4all link:https://www.total-slovenia-news.com/politics/5951-covid-19-slovenia
United Arab Emirates,ARE,3,29/03/2020,ACAPS ID 5309,
Argentina,ARG,3,31/03/2020,ACAPS ID 4623,
Austria,AUT,2,31/03/2020,ACAPS ID 4777,
Austria,AUT,2,31/03/2020,ACAPS ID 5297,
Guinea,GIN,2,31/03/2020,ACAPS ID 4212,
Peru,PER,3,31/03/2020,ACAPS ID 4522,
Philippines,PHL,2,02/04/2020,masks4all,masks4all link: https://www.thestar.com.my/news/regional/2020/04/02/philippines-requires-people-to-wear-masks-in-public
Dominican Republic,DOM,3,03/04/2020,ACAPS ID 5065,
Saint Kitts and Nevis,KNA,1,03/04/2020,ACAPS ID 9536,
Turkey,TUR,3,03/04/2020,masks4all,masks4all link: https://www.gov.uk/foreign-travel-advice/turkey/staying-during-coronavirus
Colombia,COL,3,04/04/2020,ACAPS ID 5038,
Benin,BEN,2,05/04/2020,ACAPS ID 4627,
Indonesia,IDN,3,05/04/2020,masks4all,masks4all link: https://www.straitstimes.com/asia/se-asia/coronavirus-indonesia-orders-citizens-to-wear-masks-as-infections-rise
Kenya,KEN,2,05/04/2020,ACAPS ID 4025,
Madagascar,MDG,3,05/04/2020,ACAPS ID 4290,
Trinidad and Tobago,TTO,3,05/04/2020,ACAPS ID 5650 + masks4all,masks4all link: https://tt.usembassy.gov/stay-home-order-extended-until-april-30-revised-hours-for-stores-restaurants-close/
Haiti,HTI,3,06/04/2020,ACAPS ID 4283,
Kenya,KEN,3,06/04/2020,ACAPS ID 4138,
Ukraine,UKR,3,06/04/2020,ACAPS ID 11164,
United States of America,USA,1,06/04/2020,wikipedia,CDC recommendation date from Wikipedia: https://en.wikipedia.org/wiki/Face_masks_during_the_COVID-19_pandemic
Honduras,HND,3,07/04/2020,ACAPS ID 5120,
Israel,ISR,3,07/04/2020,ACAPS ID 7435,note: https://www.gov.il/en/departments/news/07042020_2 gives earlier date than ACAPS
Morocco,MAR,3,07/04/2020,masks4all,masks4all link: https://www.moroccoworldnews.com/2020/04/298834/wearing-face-masks-outside-is-mandatory-in-morocco-starting-april-7/
Paraguay,PRY,3,07/04/2020,ACAPS ID 5567,
Saint Lucia,LCA,1,07/04/2020,ACAPS ID 9563,
Tunisia,TUN,3,07/04/2020,masks4all,masks4all link: https://twitter.com/AgenceTAP/status/1247246567377166336
Benin,BEN,3,08/04/2020,ACAPS ID 4626,
Chile,CHL,3,08/04/2020,ACAPS ID 5030,
Chile,CHL,3,08/04/2020,ACAPS ID 5031,
Lithuania,LTU,3,08/04/2020,ACAPS ID 4408,
Mozambique,MOZ,3,08/04/2020,ACAPS ID 5107,
Mozambique,MOZ,3,08/04/2020,ACAPS ID 5108,
Côte d'Ivoire,CIV,3,09/04/2020,ACAPS ID 4768,
Niger,NER,3,10/04/2020,ACAPS ID 5564,
United States of America,USA,2,10/04/2020,masks4all (first US state date),masks4all link: https://www.nj.com/news/2020/04/njs-new-coronavirus-rules-for-grocery-shopping-masks-store-limits-everything-you-need-to-know.html
Cuba,CUB,3,11/04/2020,ACAPS ID 5052,
